personLabel	aliasLabel
Erwin Lanc	
Thomas Wimmer	
Hans Fritzsche	August Franz Anton Hans Fritzsche
Hans Fritzsche	Hans Fritsche
Hans Fritzsche	Hans Georg Fritzsche
Hans Fritzsche	Hans George Fritzsche
Josef Bühler	Dr. Josef Bühler
Robert Ley	Dr. Ernst Distelmeyer
Karl Weber	
Rainer Arnold	
Heinrich von Friedberg	
Franz Müntefering	
Ahmad Yunus Hairi	
Halimah Ali	
Wilhelm Hasenclever	
Anja Weisgerber	
Wolfgang Bötsch	
Hermann Köchly	Hermann August Theodor Köchly
Hermann Köchly	Hermann Koechly
Franz Stein	
Christian Lindner	Christian Wolfgang Lindner
Hannibal	Annibale
Hannibal	Hanibal
Karim Mansor	Karim bin Mansor
Andreas Gottschalk	
Luc Jochimsen	
Theodor Fritsch	
Josef Müller	Joseph Muller
Josef Müller	Josef Mueller
Josef Müller	Josef Muller
Hannibal	Annibal
Victor L. Berger	Victor Berger
Hans Lukaschek	
Hasan Mohamed Ali	
Ludwig von Flotow	
Georg Bernhard	
Fritz Schramma	
Ursula Engelen-Kefer	
Josef Müller	Joseph Mueller
Oskar Dirlewanger	Oskar Paul Dirlewanger
Catherine II of Russia	Princess Sophie of Anhalt-Zerbst
Georg-August Zinn	Georg August Zinn
Nik Nazmi Nik Ahmad	Nik Nazmi
Hannibal	Annibas
Hannibal	Gannibal
Hannibal	Ḥanniba'al
Hannibal	Ḥanniba'l
Hannibal	Hannibal Barca
Hannibal	Hannibal son of Hamilcar
Hannibal	Hannibal the Barcid
Hannibal	Hannibal, son of Hamilcar
Hannibal	Ḥannibaʿal
Hannibal	Ḥannibaʿl
Hannibal	Ḥannoba'al
Hannibal	Ḥannobaʿal
Catherine II of Russia	Catherine Alexeievna Romanova
Catherine II of Russia	Catherine II, Czarina of Russia
Catherine II of Russia	Catherine II, Empress of Russia
Catherine II of Russia	Catherine Romanova
Catherine II of Russia	Ekaterina Alexeyevna of Russia
Catherine II of Russia	Ekaterina Alexeyevna Romanova
Catherine II of Russia	Ekaterina II of Russia
Catherine II of Russia	Empress Catherine II
Catherine II of Russia	Grand Duchess Ekaterina Alexeyevna of Russia
Catherine II of Russia	Princess Sophie Friederike Auguste of Anhalt-Zerbst
Catherine II of Russia	Sophie Friederike Auguste of Anhalt-Zerbst
Catherine II of Russia	Sophie Friederike Auguste von Anhalt-Zerbst
Catherine II of Russia	Sophie of Anhalt-Zerbst
Julius Schaub	
Hanns Martin Schleyer	Hanns-Martin Schleyer
Hanns Martin Schleyer	Schleyer
Vladimír Franz	Vladimir Franz
Adolph Wagner	Adolf Heinrich Gotthilf Wagner
Dokka Umarov	Doku Khamatovich Umarov
Kilij Arslan II	Kiliy Arslan II
Arvind Kejriwal	
Horst Stechbarth	
Bruno Diekmann	
Adolf Köster	
Wilhelm Höcker	
Herbert Fux	
Rudolf Krohne	
Gottfried Graf von Bismarck-Schönhausen	Gottfried Alexander Georg Herbert von Bismarck-Schönhausen
Krafft von Crailsheim	Friedrich Krafft Graf von Crailsheim
Peter Danckert	Peter Wilhelm Danckert
Guglielmo Marconi	Guglielmo Giovanni Maria Marconi, 1st Marquis of Marconi
Guglielmo Marconi	Guglielmo Marchese Marconi
Guglielmo Marconi	Senatore Guglielmo Marconi
Hermann Oncken	Hermann Gerhardt Karl Oncken
Hermann Oncken	Karl Hermann Gerhard Oncken
Kurt von Morgen	C. E. v. Morgen
Kurt von Morgen	C. von Morgen
Kurt von Morgen	Curt Ernst von Morgen
Kurt von Morgen	General Curt Ernst von Morgen
Kurt von Morgen	K. von Morgen
Diallo Fadima Touré	Diallo Fadima Toure
Maximilian von Herff	Maximilian Karl Otto von Herff
Ignacy Potocki	Count Roman Ignacy Potocki
Christian Wasserfallen	
Edzard Schmidt-Jortzig	
Richard Baer	
Subahan Kamal	
Ignaz Czapka	
Eberhard Taubert	
Charles-Frédéric Reinhard	Charles-Frederic Reinhard
Moritz von Bissing	Moritz Ferdinand Freiherr von Bissing
Moritz von Bissing	Moritz Ferdinand, Freiherr von Bissing
Hans von Raumer	Hans Friedrich Wilhem Ernst von Raumer
Gustav Freytag	
Johannes Giesberts	
Prince August Wilhelm of Prussia	Auwi
Verena Bentele	Verena Monika Bentele
Gustav Ritter von Kahr	
Christoph Ernst von Houwald	
Jakob Sprenger	
Wilhelm Murr	
Yaakob Sapari	Yaakob bin Sapari
Wolfgang Kapp	
Friedrich Harkort	
Werner Hoyer	
Georg Diederichs	
Ng Suee Lim	
Carl Röver	
Dietrich Klagges	
Francis Drake	Sir Francis Drake
Gottfried Graf von Bismarck-Schönhausen	Gottfried von Bismarck
Daniel of Galicia	
Christoph Flügge	
Hans Hermann von Berlepsch	
Max Sievers	
Werner Bruschke	
Marie Juchacz	
Wilhelm Kaisen	Carl Wilhelm Kaisen
Marieluise Beck	Marieluise Beck-Oberdorf
Walter von Keudell	
Ernst Bassermann	
Ernst Goldenbaum	
Erwin Planck	
Michael Ebling	
Mohd Isa Abu Kasim	
Anna Lührmann	
Anton Besold	
Krzysztof Piesiewicz	Krzysztof Marek Piesiewicz
Iancu Flondor	Johann Ritter von Flondor
Iancu Flondor	Johann von Flondor
Joseph Samuel Bloch	Jozef Samuel Bloch
Joseph Samuel Bloch	Józef Samuel Bloch
Karl Theodor Bayrhoffer	Karl Theodor Otto Christian August Bayrhoffer
Adib Shishakli	Adib al-Shishakli
Antonius von Steichele	Anton von Steichele
Wilhelm Exner	Wilhelm Franz Exner
Aung San Suu Kyi	Daw Suu
Karl Litzmann	
Philipp Mißfelder	
William Trousdale	
Hermann Gossler	
Karl Ravens	
Friedrich Burmeister	
Stephen Uroš I of Serbia	Esteban IV Uros I el Grande
Stephen Uroš I of Serbia	Stefan Uroš I Nemanjic, King of Serbia
Salo Weisselberger	Salo von Weisselberger
Ernst Hermann Meyer	Ernst Hermann Ludimar Meyer
Karl Theodor Freiherr von und zu Guttenberg	Karl Theodor Maria Georg Achaz Eberhardt Josef Freiherr von und zu Guttenberg
Aung San Suu Kyi	Amay Suu
Aung San Suu Kyi	aung hcan: cu. krany
Aung San Suu Kyi	Aung San Su Kyi
Aung San Suu Kyi	Daw Aung San Su Kyi
Aung San Suu Kyi	Daw Aung San Suu Kyi
Aung San Suu Kyi	Dr. Suu Kyi
Aung San Suu Kyi	Miss Suu Kyi
Aung San Suu Kyi	Ms. Suu Kyi
Aung San Suu Kyi	The lady
Eudoxiu Hurmuzachi	Eudoxius von Hurmuzaki
Herwig van Staa	DDr. Herwig van Staa
Ismail Sani	
Tan Choon Swee	
Dorothee Bär	
Paul Nevermann	
Rudolf Schwander	
John Gregg Utterback	John G. Utterback
Luai al-Atassi	Luʼayy al-Atāsī
Ante Pavelić	
Ronnie Liu Tian Khiew	
Rudolf Seiters	
Günther Gereke	
Ludwig Eichholz	
Peter Florin	
Joseph Samuel Bloch	Joseph Bloch
Robert Stricker	
Jens Isak de Lange Kobro	
Yang Jun	Yeung Chun
Adolf Wermuth	
Berhan Şimşek	
Kurt Schmücker	
Annkathrin Kammeyer	
August Wilhelm von Bismarck	
Volker Hauff	
Joseph Samuel Bloch	Josef Bloch
Patrick Leahy	Patrick Joseph Leahy
Johannes Andenæs	
Gerhard Jahn	
Guy Victor Molinari	Gaetano Victor Molinari
Guy Victor Molinari	Guy Molinari
Guy Victor Molinari	Guy V. Molinari
Peregrine Osborne, 2nd Duke of Leeds	Leeds, Peregrine Osborne, 2nd Duke of
Christoph Moufang	Franz Christoph Ignaz Moufang
Hugo Sinzheimer	H.D. Sinzheimer
Hugo Sinzheimer	Hugo Daniel Sinzheimer
Patrick Leahy	Pat Leahy
Patrick Leahy	Patrick J. Leahy
Thomas Osborne, 4th Duke of Leeds	Duke of Leeds
Thomas Osborne, 4th Duke of Leeds	Earl of Danby
Thomas Osborne, 4th Duke of Leeds	Marquess of Carmarthen
Iskandar Abdul Samad	Iskandar bin Abdul Samad
Johann Heinrich von Carmer	
Moritz Wiggers	
Rainer Wend	
Wilhelm Wehrenpfennig	
Bleick Max Bleicken	
Dirk Elbers	
Ferdinand Gatzweiler	
Luitpold Steidle	
Thomas Hobbes	Thomas Hobbes of Malflutry
Thomas Hobbes	Thomas Hobbsted
Nureddin al-Atassi	Noureddin Mustafa Ali al-Atassi
Nureddin al-Atassi	Nūr al-Dīn al-Atāsī
Edward Kent	Édouard Kent
Cesare d'Este, Duke of Modena	Cesare d'Este
Adolf Wild von Hohenborn	Heinrich Adolf Wild von Hohenborn
Jackie Chan	Jacky Chan
Florence Nightingale	Miss Smith
Jackie Chan	Pao Pao
Jackie Chan	Sing Lung
Jackie Chan	Chen Lung
Demetrius I of Macedon	
Wilhelm Ehm	
Laurenz Meyer	
Wilhelm Koch	
Thomas Hobbes	Hobbes
David IV of Georgia	David Agmashenebeli
David IV of Georgia	David II/IV the Restorer
David IV of Georgia	David the Builder
Ludwik Mycielski	
Berthold von Deimling	Berthold Karl Adolf von Deimling
Rimantas Sinkevičius	Rimantas Sinkevicius
Florence Nightingale	Lady with the Lamp
Jackie Chan	Kung-Fu Master
Walter Köhler	
Mohamed Azmin Ali	Azmin Ali
Mohamed Azmin Ali	Mohamed Azmin bin Ali
Otto Gildemeister	
Dieter Rampl	Rampl, Dieter
Bruno von Schuckmann	
Hans Lenz	
Werner Münch	
Jackie Chan	Chan Kong-sang
Jackie Chan	Chen Yuan Lung
Jackie Chan	Chen Yuan-lung
Jackie Chan	Chen Yuen Lung
Jackie Chan	Cheng Lung
Jackie Chan	Kong-sang Chan
Jackie Chan	Lung Cheng
Jackie Chan	Y'uen Lo
Jackie Chan	Yuan Lung Chen
Jackie Chan	Yuan-Lou Chen
Jackie Chan	Yuen Lung Chen
Barbara Hendricks	Barbara Anne Hendricks
Johannes Overbeck	Johannes Adolf Overbeck
Johannes Overbeck	Johannes Adolph Overbeck
Hermann Wagener	Friedrich Wilhelm Hermann Wagener
Florence Nightingale	Angel of Crimea
Florence Nightingale	Nightingale Florence
Abd al-Malik ibn Marwan	
Fritz Schäffer	
Gregor Amann	
Walter Wolf	
Emile Tibbaut	
Hugo Salzmann	
Remigijus Žemaitaitis	
Alexander von Koller	
Louis Nels	
Hermann Axen	
Hermann Kastner	
Johann Baptist Gradl	
Paul Wegener	
Barbara Lochbihler	
Karl Ernst Adolf von Hoff	
Wilhelm Karpenstein	
Rasul Gamzatov	Rasul Gamzatovich Gamzatov
Haniza Mohamed Talha	Haniza binti Mohamed Talha
Rodziah Ismail	Rodziah binti Ismail
Clemens von Podewils-Dürniz	Clemens von Podewils-Dürnitz
Clemens von Podewils-Dürniz	Hans Maria Clemens Franz Konstantin Freiherr
Clemens von Podewils-Dürniz	Hans Maria Clemens Franz Konstantin Freiherr von Podewils-Dürniz
Mario Soldati	Franco Pallavera
Manuel II Palaiologos	
Odo Russell, 1st Baron Ampthill	
Matija Majar	
Hans Frank	Hans Michael Frank
Gerhard Bletschacher	
Konrad Schily	
Maximilian List	
Francis Bacon	Francis Bacon of Verulamius
Matías Ramón Mella Castillo	
Liudmyla Denisova	Lyudmyla Leontiivna Denisova
Liudmyla Denisova	Lyudmyla Leontiyivna Denisova
Franz Schuselka	Franz Anton Schuselka
Jens Spahn	Jens Georg Spahn
Jens Spahn	Spahn, Jens Georg
Francis Bacon	Bacon, Francis, 1561-1626
Luiz Inácio Lula da Silva	Lula
Luiz Inácio Lula da Silva	Luis Inácio Lula da Silva
Thomas Dewar, 1st Baron Dewar	Thomas Robert Dewar
Alois Stöger	Alois Josef Stöger
Arno von Lenski	Arno Ernst Max von Lenski
Heinz Riesenhuber	Heinz Friedrich Ruppert Riesenhuber
Werner Meinhof	Werner Kurt Armin Meinhof
Erich Koch-Weser	
Andreas Baum	
Carl Friedrich Heinrich Graf von Wylich und Lottum	
Dietrich Wersich	
Kurt Lichtenstein	
Hermann Schmitz	
Walter Gross	
Mikhail Pavlov	
Albert Speer	Berthold Konrad Hermann Albert Speer
Wilhelm von Le Suire	Wilhelm von
Vinzenz Gasser	
Henry IV	Duke of Bavaria Henry VIII
Henry IV	empereur germanique Henri IV
Henry IV	Holy Roman Emperor Heinrich IV
Henry IV	Holy Roman Emperor Henry IV
Henry IV	imperatore del Sacro romano impero Heinrich IV
Henry IV	Kaiser Heinrich IV. Heiliges Römisches Reich
Henry IV	keizer van het Duitse Rijk Heinrich IV
Henry IV	King of Germany Heinrich IV
Henry IV	King of Germany Henry IV
Francis Bacon	Francis Bacon, Lord Verulam
Francis Bacon	Franciscus Bacon
Johann Böhm	
Isaac II Angelos	Issac II, Angelus
Clinton Clauson	Clinton Amos Clauson
Sophia von Kielmansegg, Countess of Darlington	Countess Kielmansegg
Sophia von Kielmansegg, Countess of Darlington	Sophia Carlotte
Elisabeth Waldheim	Elisabeth Ritschel
Adolf von Arnim-Boitzenburg	
Hastings Russell, 12th Duke of Bedford	Hastings William Sackville Russell
Friedrich Middelhauve	
Tekle Giyorgis II	
Eduard Ritter von Schleich	
Ernst Mecklenburg	
Ottmar von Mohl	
Wolfgang Jüttner	
Heinrich von Podewils	
Thomas Thynne, 1st Viscount Weymouth	
Johann Koplenig	
Eckhard Stratmann-Mertens	
Karl Alber	
Henry IV	Henricus IV
Herbert Haupt	
Mirko Messner	
Joseph Hillebrand	
Richard Förster	Carl Friedrich Richard Förster
Thomas Thynne, 1st Marquess of Bath	
August Schneidhuber	
Rudi Vouk	
Otto Christian Archibald von Bismarck	Otto Christian Archibald, Prince von Bismarck
Otto Christian Archibald von Bismarck	Otto von Bismarck-Schönhausen Fürst von Bismarck
Francis Bacon	Francis Bacon, Viscount Saint Alban
Heinrich Waentig	Heinrich Eugen Waentig
Carl Blumenreuter	Karl Blumenreuther
Barbara Rütting	
Florian Gerster	
Usman ibn Affan	Othman
IImar Reepalu	
Ewa Klamt	
Arthur Mahler	
Michael Unterguggenberger	
Usman ibn Affan	Uthman
Fulgencio Yegros	Fulgencio Yegros y Franco de Torres
Guntis Ulmanis	Guntis Rumpītis
Friedrich von Moltke	Friedrich Ludwig Elisa von Moltke
Franz Christoph von Khevenhüller-Frankenburg	Franz Christoph, Graf Khevenhüller von Frankenburg
Jutta Haug	Jutta Dorothea Haug
Fyodor Tyutchev	Fyodor Ivanovich Tyutchev
Usman ibn Affan	Al Ghani
Usman ibn Affan	Zun Noorain
Christian Ehler	Jan Christian Ehler
Mabel Strickland	Hon. Mabel Edeline Strickland
Mabel Strickland	Mabel Edeline Strickland
Reinhard Heydrich	The Hangman
Gottfried Feder	
Jakob Rosenfeld	
Romano Prodi	Romano Antonio Prodi
Sejong the Great	King of Korea Sedzhon
Sejong the Great	King of Korea Sejong
Sejong the Great	King of Korea Yi Do
Sejong the Great	King of Korea Yi Sejong
Sejong the Great	Li Tao
Sejong the Great	Se Jong
Sejong the Great	Sejong
Sejong the Great	Shizong
Sejong the Great	the Great Seijong
Sejong the Great	Yingling
Sejong the Great	Yingwenruiwurenshengmingxiaodaiwang
Sejong the Great	Yuanzheng
Sejong the Great	Zhuangxian
Shukri al-Quwatli	Shukrī al-Quwwatlī
Thomas Mann	
Evelyne Gebhardt	
Robert Fournier-Sarlovèze	Robert Fournier-Sarloveze
Herbert von Bismarck	Herbert, Prince of Bismarck
Herbert von Bismarck	Nicolaus Heinrich Ferdinand Herbert von Bismarck
Herbert von Bismarck	Nikolaus Heinrich Ferdinand Herbert von Bismarck-Schönhausen Fürst von Bismarck
Alexander Tschäppät	Alexander Tschaeppaet
Kim Yong-chun	
Norbert Glante	
Reinhard Heydrich	The Man with the Iron Heart
Ernst Kirchweger	
Bernhard von Bülow	Bernhard Heinrich Karl Martin von Bülow
Bernhard von Bülow	Bernhard Heinrich Martin Karl von Bülow
Bernhard von Bülow	Príncipe Bernhard von Bülow
Reinhard Heydrich	Heydrich
Reinhard Heydrich	Himmler's Evil Genius
Reinhard Heydrich	Reinhard Tristan Eugen Heydrich
Reinhard Heydrich	The Blond Beast
Reinhard Heydrich	The Butcher of Prague
Reinhard Heydrich	Young Evil God of Death
Georg Michaelis	
Bernhard Rapkay	
Andreas Hörtnagl	
Ursula Haubner	
Frederick William III of Prussia	Frederick William III
Christian von Boetticher	
David Ben-Gurion	Ben-Gurion
Holger Krahmer	
Lissy Gröner	
Peter Jankowitsch	
Peter Mohr Dam	
Robert Stamm	
David Ben-Gurion	David Grün
George Akropolites	
Francisco Solano López	Francisco Solano López Carrillo
Francisco Solano López	General Francisco Solano Lopez
Francisco Solano López	Marshal General Francisco Solano Lopez
Frederick William III of Prussia	Frederick-William III
Frederick William III of Prussia	Friedrich Wilhelm III of Prussia
Frederick William III of Prussia	Friedrich Wilhelm III.
António Ramalho Eanes	Antonio dos Santos Ramalho Eanes
António Ramalho Eanes	António dos Santos Ramalho Eanes
António Ramalho Eanes	Antonio Ramalho Eanes
Hashim al-Atassi	Hāshim al-Atāsī
Shintarō Ishihara	Ishihara Shintaro
Shintarō Ishihara	Ishihara Shintarō
Shintarō Ishihara	Shintaro Ishihara
Shintarō Ishihara	Shintarou Ishihara
Karl von Reyher	Karl Friedrich Wilhelm Reyher
Edith Klestil	Edith Wielander
Edith Klestil	Edith-Maria Klestil
Emil Mazuw	Emil Maschuw
Hans Joachim Sewering	
Albrecht von Stosch	
Jacques Santer	
Richard Feynman	Feynman
Karl-Otto Saur	Karl Saur
Wilhelm Malte I	Prince of Putbus
Giorgos Vasiliou	Giorgos Vasos Vassiliou
Harlem Désir	Harlem Desir
Pat McCrory	Patrick Lloyd "Pat" McCrory
Pat McCrory	Patrick Lloyd McCrory
Pat McCrory	Patrick McCrory
Richard Feynman	Dick Feynman
Ruhollah Khomeini	Al-Mussavi Ruhollah Al-Khomeini
Richard Feynman	Ofey
Richard Feynman	Richard P. Feynman
Richard Feynman	Richard Phillips Feynman
Ruhollah Khomeini	Humeynî
Ruhollah Khomeini	Imam Khomeini
Ruhollah Khomeini	Khomeini
Ruhollah Khomeini	Ruḥ Allah Khumayni
Ruhollah Khomeini	Ruhollah Khomeini o Jomeini
Ruhollah Khomeini	Sayyid Ruhollah Musavi Khomeini
Hans Blum	Johann Georg Max Hans Blum
Karl-Otto Saur	Karl Otto Saur
Karl-Otto Saur	Karl Sauer
Bob Kerrey	Joseph Robert Kerrey
Lam Adesina	Lamidi Ona-Olapo Adesina
Wilhelm Malte I	Wilhelm Malte I zu Putbus
Wilhelm Malte I	Wilhelm Malte I. Fürst und Herr von Putbus
Wilhelm Malte I	Wilhelm Malte Putbus
Wilhelm Malte I	Wilhelm Malte zu Putbus
Wilhelm Malte I	Wilhelm, Prince of Putbus
Hinrich Wilhelm Kopf	
Hans Adolf Erdmann von Auerswald	
Ignaz Kuranda	
Georg Fein	
Karl Philipp Francke	
Paul Wessel	
Martin Fink	
Richard Schmitz	
Tony Tan Keng Yam	Tony Tan
Andreas Thaler	
Christian Meyer	
Otto Bickenbach	Otto Bichenbach
Thomas Thynne, 2nd Viscount Weymouth	
Herbert Reul	
Werner von Melle	
Nikolaus Berlakovich	
Ernst Schneppenhorst	Ernst Wilhelm Schneppenhorst
Wilhelm von Dönniges	Prof. Dr. Wilhelm, Ritter von Dönniges
Wilhelm von Dönniges	Wilhelm Doenniges
Wilhelm von Dönniges	Wilhelm Dönniges
Valentin Ivanov	Valentin Borisovich Ivanov
Daniel von der Heydt	
Gustav Adolph Wilibald Drechsler	
Henry Tesch	
Mayer Carl von Rothschild	
Karl Mayr	
Christian Stock	
Erika Mann	
Heinz Kindermann	
Martin Segitz	
Sylvia-Yvonne Kaufmann	
John Thynne	Sir John Thynne
Karin Gastinger	
Ernst August Geitner	
Ludwig Karl Friedrich Turban	
Angelika Niebler	
Georgios Chatzimarkakis	
Franz Suchomel	
Werner E. Ablaß	
Otto von Guericke	Otto von Gericke
Mario Vargas Llosa	
Heinz Galinski	
Heinz Starke	
Eduard Rosenthal	
Wolf Dietrich von Beichling	
Harold Alexander, 1st Earl Alexander of Tunis	Harold Alexander
Godelieve Quisthoudt-Rowohl	
Helmuth Markov	
James Hamilton, 3rd Earl of Arran	
Johann Gregor Memhardt	
Gamal Abdel Nasser	Gamal Abd al-Nasser
Gamal Abdel Nasser	Gamal abd an-Nassir
Gamal Abdel Nasser	Gamal Abd el-Nasser
Gamal Abdel Nasser	Gamal Abdel Nasser Hussein
Gamal Abdel Nasser	Jamal Abd an-Nasir
Gamal Abdel Nasser	Jamāl ʻAbd al-Nāṣir
Gamal Abdel Nasser	Jamāl ʻAbd al-Nāṣir Ḥusayn
Terry Branstad	Terry E. Branstad
Terry Branstad	Terry Edward Branstad
Neill S. Brown	Neill Smith Brown
Thomas B. Jackson	Thomas Birdsall Jackson
Guido Schmidt	Dr. Guido Schmidt
Otto Graf Lambsdorff	Otto
Richard Walther Darré	R. Walther Darre
Otto Graf Lambsdorff	Otto Friedrich Wilhelm Freiherr von der Wenge Graf Lambsdorff
Otto Graf Lambsdorff	Otto Graf Lambsdorff von der Wenge
Anton Saefkow	Anton Emil Hermann Saefkow
Harold Alexander, 1st Earl Alexander of Tunis	Colonel Hon. Harold Rupert Leofric George Alexander
Harold Alexander, 1st Earl Alexander of Tunis	Harold Rupert Leofric George Alexander, 1st Viscount Alexander of Tunis
Wilhelm Beer	Wilhelm Wolff Beer
Christopher H. Clark	Christopher Henderson Clark
Bernhard Vogel	
Carl Vincent Krogmann	
Hermann Hüffer	
Reinhard Carl Friedrich von Dalwigk	
Butch Otter	Clement Leroy "Butch" Otter
Butch Otter	Clement Leroy Otter
Butch Otter	Clement Otter
Butch Otter	Governor Butch Otter
Naftali Bennett	Naphtali Bennett
Maria Cavaco Silva	Maria Alves da Silva Cavaco Silva
Erich Koch	
Martin Graf	
Gamal Abdel Nasser	Nasser
Vittoria della Rovere	consort of Ferdinando II Vittoria Grand-Duke of Tuscany Grand Duchess Vittoria
Vittoria della Rovere	Grand Duchess, consort of Ferdinando II, Grand-Duke of Tuscany, Vittoria
Emilie of Oldenburg-Delmenhorst	Emilie Antonia of Oldenburg-Delmenhorst
Albrecht Giese	
Georg Brüning	
Charles Germain	
Joseph Wirth	Karl Joseph Wirth
Heinrich Leo	
Lewis Moonie, Baron Moonie	Dr. Lewis George Moonie, Baron Moonie
Lewis Moonie, Baron Moonie	Lewis George Moonie, Baron Moonie
James Baby	
Wolfgang Stammberger	
Gustav Klinger	
Henning Schwarz	
Abol Fath Khan	
Franz Hitze	
Heinrich Windelen	
Ernst von Wrisberg	
Franz Löbert	
Karl Thom	
Jürgen Banzer	
Romana Jordan Cizelj	Romana Jordan
Helma Orosz	
Marion Walsmann	
Willi Ankermüller	
Richard Walther Darré	Richard Walther Darre
Arthur Ladwig	
Gustav Sobottka	
Philipp Ernst, 8th Prince of Hohenlohe-Schillingsfürst	
Otto Kloppmann	
Ronaldinho	ronaldinho:Touch of Gold
Ronaldinho	Ronaldo de Assis Moreira
Gottlob Berger	Gottlob C. Berger
Gottlob Berger	Gottlob Christian Berger
Franz-Josef Röder	Franz-Josef Roder
Marcus Cluvius Rufus	Cluvius Rufus
Marcus Cluvius Rufus	Publius Cluvius Rufus
Yosef Almogi	Josef Almogi
Yosef Almogi	Yosef Aharon Almogi
Andrew S. Fulton	Andrew Steele Fulton
Thomas Monteagle Bayly	Thomas M. Bayly
Count Otto von Czernin	Count Otto Czernin von und zu Chudenitz
Count Otto von Czernin	Otto Rudolf Theobald Ottokar Maria Graf Czernin von und zu Chudenitz
Omar Ali Saifuddin II of Brunei	Omar Ali Saifuddin II
Friedrich Maassen	Friedrich Bernard Christian Maassen
Hans Fischböck	Fischboeck
Hans Fischböck	Hans Fischboeck
Ahmad Tajuddin of Brunei	
Radovan Zogović	
Ernst Schwarz	
Marie Schlei	
Paul Eltzbacher	
Dietrich Eckart	
Muhammad Jamalul Alam II	Muhammad Jamalul Alam II of Brunei
Muhammad Jamalul Alam II	Pengiran Muda Bongsu Muhammad Jamalul Alam
Johannes Hoffmann	
Warren Rudman	Warren Bruce Rudman
Lu Jinshan	
Hans Krebs	
Erhard Heiden	
Gottfried Reinhold Treviranus	
Jacques Peirotes	
Franz Josef Delonge	Franz-Josef Delonge
Karl von Müller	
Gottlob Berger	Gottlieb Berger
Helene Weigel	
Irmgard Schwaetzer	Irmgard Adam- Schwaetzer
Irmgard Schwaetzer	Irmgard Adam-Schwaetzer
Karl Geiler	Karl Hermann Friedrich Geiler
Jean Marie Rodolph Eickemayer	Jean Marie Rodolphe Eickemeyer
Abel Huntington	
Albert Ganzenmüller	
James Lent	
Peter Hussing	
Bruno Wille	
Hans Katzer	
Helmut Markwort	
Fritz Reinhardt	
Newton Cannon	
Gregor Leonhard Andreas von Scherr	
Martin Hohmann	
Alexander von Lavergne-Peguilhen	
Franz Jacob	
Waldemar Schreckenberger	
Ronaldinho	Ronaldinho Gaúcho
Ronaldinho	Ronaldinho Gaucho
Ruprecht Polenz	
Hinrich Schniedewind	
Anja Hajduk	
Gerd Langguth	
Jan Appel	
Pol Pot	Brother Number One
Pol Pot	Saloth Sar
Ernst Troeltsch	Ernst Peter Wilhelm Troeltsch
Doreen Miller, Baroness Miller of Hendon	Baroness Miller of Hendon
Doreen Miller, Baroness Miller of Hendon	Doreen Miller
Rudolf Sarközi	Rudolf Sarkozi
Omar Ali Saifuddin I of Brunei	Omar Ali Saifuddin I
Ariel Sharon	Arik Sharon
Theodor Steltzer	Theodor Hans Steltzer
Abdul Momin of Brunei	
Josef Weidenholzer	
Hans Caspar von Bothmer	Johann Caspar Graf von Bothmer
August von Degenfeld-Schonburg	
Carl Friedrich Kotschy	
Heinrich Ströbel	
Joseph Ignatius Ritter	
Barthold Georg Niebuhr	Niebuhr, Barthold Georg
Edgar André	Edgar Andre
José María Oriol	Jose Maria de Oriol y Urquijo
José María Oriol	José María de Oriol y Urquijo
José María Oriol	Jose Maria Oriol
José María Oriol	Jose Maria Oriol Urquijo
Wilhelm Marr	Friedrich Wilhelm Adolph Marr
Christophe-Philippe Oberkampf	Christophe Philippe Oberkampf
Anton Magnis	Anton Franz Ferdinand Wilhelm Karl Graf von Magnis
Cadwallader David Colden	C. D. Colden
Cadwallader David Colden	Cadwallader D. Colden
Walther Schücking	Walther Adrian Schücking
Walther Schücking	Walther Max Adrian Schücking
Emil Eichhorn	Robert Emil Eichhorn
Barthold Georg Niebuhr	Barthold Georg Freiherr von Niebuhr
Géza II of Hungary	Geza II of Hungary
Hellmuth Heye	Hellmuth Guido Alexander Heye
Silas Wood	
Joseph Jonas	
Eva Perón	Eva
Eva Perón	Eva Duarte Ibarguren
Eva Perón	Eva Peron
Eva Perón	Evita
Eva Perón	Evita Perón
Eva Perón	Maria Eva Duarte de Peron
Eva Perón	María Eva Duarte de Perón
Eva Perón	Maria Eva Duarte Peron
Eva Perón	María Eva Duarte Perón
Tammy Baldwin	Tammy Suzanne Green Baldwin
Walther Hewel	Walter Hewel
Zog I of Albania	Zog
Jürg Grossen	Juerg Grossen
Max Amann	Reichsleiter Amann
Kerstin Lorenz	
Franz Obermayr	Franz Sebastian Obermayr
Franz Gürtner	
Girolamo Riario	
Ole von Beust	
Adolph von Hansemann	
Heinrich Wilhelm von Huth	
Magnus von Levetzow	
Manfred Christ	
Max Frauendorfer	
Alexander von Monts	Alexander Graf von Monts de Mazin
Christine Buchholz	Christine Ann Buchholz
Daniel Blumenthal	
Duke Adolf Friedrich of Mecklenburg-Schwerin	Adolf Friedrich Herzog von Mecklenburg-Schwerin
Duke Adolf Friedrich of Mecklenburg-Schwerin	Duke Adolf Friedrich Albrecht Heinrich of Mecklenburg-Schwerin
Duke Adolf Friedrich of Mecklenburg-Schwerin	Duke Of Mecklenburg Schwerin Adolf Friedrich
Duke Adolf Friedrich of Mecklenburg-Schwerin	Herzog von Mecklenburg-Schwerin Adolf Friedrich
