personLabel	aliasLabel
Mustafa Kemal Atatürk	Ghazi Moustapha Kemal Pasha
Mustafa Kemal Atatürk	Ghazi Mustapha Kemal
Mustafa Kemal Atatürk	Ghazi Mustapha Kemal Ataturk
Mustafa Kemal Atatürk	Ghazi Mustapha Kemal Pasha
Mustafa Kemal Atatürk	K. Atatürk
Mustafa Kemal Atatürk	Kamal Ataturk
Mustafa Kemal Atatürk	Kamâl Atatürk
Mustafa Kemal Atatürk	Kemal Ataturk
Mustafa Kemal Atatürk	M. Kemal Ataturk
Mustafa Kemal Atatürk	M. Kemal Atatürk
Mustafa Kemal Atatürk	Mustafa K. Atatürk
Barack Obama	Honorable Barack Obama
Barack Obama	Barack obama
Harm Wiersma	
George Washington	American Fabius
George Washington	Father of the United States
George Washington	The American Fabius
Harivansh Rai Bachchan	Bachchan
Harivansh Rai Bachchan	Harivansh Rai Shrivastav
Richard Nixon	Dick Nixon
Richard Nixon	Nixon
Richard Nixon	President Nixon
Richard Nixon	R. M. Nixon
Richard Nixon	R. Nixon
Richard Nixon	Richard M. Nixon
Richard Nixon	Richard Milhous Nixon
Richard Nixon	Tricky Dick
Bertalan Farkas	
Jean Jaurès	Auguste Marie Joseph Jean Leon Jaures
Jean Jaurès	Auguste Marie Joseph Jean Léon Jaurès
Jean Jaurès	Jean Leon Jaures
Jean Jaurès	Jean Léon Jaurès
Eddy Ottoz	
Maxim Gorky	Gorky
Robert Baden-Powell, 1st Baron Baden-Powell	Lord Baden-Powell
Robert Baden-Powell, 1st Baron Baden-Powell	Robert Lord Baden-Powell
Robert Baden-Powell, 1st Baron Baden-Powell	Robert Stephenson Smyth Baden-Powell
Cem Özdemir	
Barack Obama	Obama
Barack Obama	BHO
Patrick Janssens	
Barack Obama	President Barack Obama
James Callaghan	Jim Callaghan
James Callaghan	James Callaghan, Baron Callaghan
James Callaghan	James, Baron Callaghan
James Callaghan	Leonard James Callaghan
James Callaghan	Leonard James, Baron Callaghan
James Callaghan	Lord Callaghan
James Callaghan	Lord Callaghan of Cardiff
Gerald Ford	Ford
Małgorzata Handzlik	
Gerald Ford	Gerald R. Ford
Gerald Ford	G. R. Ford
Gerald Ford	Gerald Ford Jr.
Gerald Ford	Gerald Rudolph "Jerry" Ford Jr.
Gerald Ford	Gerald Rudolph Ford
Gerald Ford	Gerald Rudolph Ford Jr.
Gerald Ford	Leslie Lynch King Jr.
Gerald Ford	President Ford
Adolf Butenandt	Adolf Friedrich Johann Butenandt
Willem Drees	W. Drees
Maxim Gorky	Maksim Gorky
Mao Zedong	Lun-chi
Mao Zedong	Mao Jun-chih
Mao Zedong	Máo Rùnzhī
Mao Zedong	Mao Zédong
Mao Zedong	Mau Zerdong
Mao Zedong	Mouh Jaahk-dung
Jan II Carondelet	Jean II Carondelet
Eduardo Frei Ruiz-Tagle	Eduardo Alfredo Juan Bernardo Frei Ruiz-Tagle
Philip the Arab	Marcus Julius Philippus Arabs
Philip the Arab	Philippus Arabs
Pierre-Joseph Proudhon	P.-J. Proudhon
Pierre-Joseph Proudhon	Pʹer Zhozef Prudon
Pierre-Joseph Proudhon	Pʻu-lu-tung
Pierre-Joseph Proudhon	Pierre Joseph Proudhon
Pierre-Joseph Proudhon	Purūdon
Geoffrey Chaucer	Chaucer
Tacitus	C. Cornelius Tacitus
Tacitus	Cornelius Tacitus
Tacitus	Gaius Cornelius Tacitus
Tacitus	P. Cornelius Tacitus
Tacitus	Publius Cornelius Tacitus
Tacitus	Publius Cornelius Tacitus Caecina Paetus
Georges Pompidou	Georges Jean Raymond Pompidou
Gordian III	Emperor of Rome Gordian III
Gordian III	Emperor of Rome Gordianus III
Gordian III	Gordianus III
Gordian III	Marcus Antonius Gordianus
Gordian III	Marcus Antonius Gordianus Pius
Mao Zedong	Mao Tse-tung
Mao Zedong	Mao Ze Dong
Mao Zedong	Máo Zédōng
Mao Zedong	Máo Zhǔxí
Mao Zedong	Mao² Tsê²-tung¹
Mao Zedong	Maozedong
Mao Zedong	Mau Tzerdong
Mao Zedong	Mau Zeh-ton
Mao Zedong	Máu Zéh-ton
Mao Zedong	Mo Chhet-tung
Mao Zedong	Mô Chhe̍t-tûng
Mao Zedong	Mo Tek-tong
Mao Zedong	Mô͘ Te̍k-tong
Mao Zedong	Moo Tik-tang
Mao Zedong	Môo Ti̍k-tang
Mao Zedong	Mou Zaak-dung
Mao Zedong	Rùnzhī
Mao Zedong	Tse Toung Mao
Mao Zedong	ㄇㄠˊ ㄗㄜˊ ㄉㄨㄥ
Mao Zedong	毛主席
Mao Zedong	毛泽东
Mao Zedong	毛澤東
Mao Zedong	润之
Mao Zedong	潤之
Philippe Pétain	Henri Philippe Benoni Omer Joseph Petain
Philippe Pétain	Henri Philippe Benoni Omer Joseph Pétain
Philippe Pétain	Marshal Petain
Philippe Pétain	Marshal Pétain
Philippe Pétain	Philippe Petain
José Bové	Joseph Bove
José Bové	Joseph Bové
Huang Xianfan	Huang Hsienfan
Huang Xianfan	Huáng Hsiènfán
Huang Xianfan	Huáng Xiànfán
Huang Xianfan	Vangz Yenfanh
Decius	Gaius Messius Quintus Decius
Decius	Gaius Messius Quintus Traianus Decius
Decius	Gaius Messius Quintus Trajanus Decius
Decius	Trajan Decius
Adolphe Thiers	Louis Adolphe Thiers
Adolphe Thiers	Louis-Adolphe Thiers
Adolphe Thiers	Marie Joseph Louis Adolphe Thiers
Balbinus	Decimus Caelius Calvinus Balbinus
Mao Zedong	Mao Runzhi
Lord Byron	George Gordon
Lord Byron	Byron
Lord Byron	George Gordon Byron, 6th Baron Byron
Mao Zedong	Chairman Mao Zedong
Lord Byron	Bairon
Sebastián Piñera	Miguel Juan Sebastián Piñera Echenique
Sebastián Piñera	Sebastián Piñera Echenique
José Bové	Jose Bove
Pupienus	Marcus Clodius Pupienus Maximus
Pupienus	Pupienus Maximus
Lord Byron	6th Baron Byron George Gordon Byron
Lord Byron	6th Baron Byron George Gordon Noel
Lord Byron	Bajron
Lord Byron	Baron Byron George Gordon Byron
Lord Byron	Bayrěn
Lord Byron	Bayron
Lord Byron	Džordž Gordon Bajron
Lord Byron	George Gordon Byron
Lord Byron	George Gordon Byron Byron
Lord Byron	George Gordon Byron Lord
Lord Byron	George Gordon Byron, Baron Byron
Lord Byron	George Gordon Noël Byron Byron
Lord Byron	Jerzy Gordon Byron
Lord Byron	Noel Byron
Lord Byron	Pai-lun
Lord Byron	Payrěn
Lord Byron	Xhorxh Bajroni
Philip the Arab	Philip
Kris Peeters	
Philippe Cochet	
Gordon Brown	J. Gordon Brown
Gordon Brown	James Gordon Brown
Johann Wolfgang von Goethe	goethe
Johann Wolfgang von Goethe	j. w. von goethe
Johann Wolfgang von Goethe	joh. wolfg. von goethe
Johann Wolfgang von Goethe	johann wolfgang von goethe
Johann Wolfgang von Goethe	Johann Wolfgang Von Goethe
Emperor Gaozu of Tang	Gaozu
Dominique Nachury	
Jurelang Zedkaia	
Emperor Gaozu of Tang	Li Yuan
Emperor Gaozu of Tang	Taiwu
Emperor Gaozu of Tang	Shude
Manuel Valls	Manuel Carlos Valls Galfetti
Stephen Harper	HE Stephen Harper
Stephen Harper	Stephen Joseph Harper
Stephen Harper	The Right Hon. Stephen Harper
Pythagoras	Pythagoras from Samos
Pythagoras	Samian Sage
Caroline Lucas	Caroline Patricia Lucas
Lyndon B. Johnson	LBJ
Lyndon B. Johnson	L. B. Johnson
Lyndon B. Johnson	Lyndon Baines Johnson
Lyndon B. Johnson	Lyndon Johnson
Lyndon B. Johnson	President Johnson
Kessai Note	Kessai H. Note
Kessai Note	Kessai Hesa Note
Marine Le Pen	Marion Anne Perrine
Marine Le Pen	Marion Anne Perrine Le Pen
Marine Le Pen	Marion Le Pen
Gordon Brown	HE Gordon Brown
Bernard Perrut	
Jean-Louis Touraine	
Pierre-Alain Muet	
Mao Zedong	Chairman Mao
Mao Zedong	Jeon-zi
Mao Zedong	Jun-chih
Mao Zedong	Mao
Pelé	Pele
Dadabhai Naoroji	Grand Old Man of India
Emperor Gaozu of Tang	Emperor Gaozu
Emperor Gaozu of Tang	Li yuan
Emperor Gaozu of Tang	Lǐ Yuān
Emperor Gaozu of Tang	Shenyao dasheng daguang xiao huangdi
Christopher Loeak	Christopher J. Loeak
Christopher Loeak	Christopher Jorebon Loeak
Tron Øgrim	Trond Øgrim
Ronald Reagan	President Reagan
Joan Saura i Laporta	
Ronald Reagan	President Ronald Reagan
Ronald Reagan	R. W. Reagan
Ronald Reagan	Ronald W Reagan
Ronald Reagan	Ronald W. Reagan
Ronald Reagan	Ronald Wilson Reagan
Pelé	Edson Arantes do Nascimento
Abraham Lincoln	Lincoln
Dwight D. Eisenhower	Ike
John F. Kennedy	John Kennedy
John F. Kennedy	Kennedy
John F. Kennedy	Jack Kennedy
John F. Kennedy	JFK
John F. Kennedy	John Fitzgerald Kennedy
Leanne Wood	
Amata Kabua	
Joan Herrera i Torres	
Jean-Luc Mélenchon	Santerre
Johann Wolfgang von Goethe	Goethe
Abraham Lincoln	Honest Abe
Abraham Lincoln	A. Lincoln
Abraham Lincoln	Abe Lincoln
Abraham Lincoln	President Lincoln
Abraham Lincoln	Uncle Abe
Litokwa Tomeing	
Kim Jong-il	Kim Jong Il
Kim Jong-il	Yuri Irsenovich Kim
Dwight D. Eisenhower	D. Eisenhower
Dwight D. Eisenhower	David Dwight Eisenhower
Dwight D. Eisenhower	Dwight David "Ike" Eisenhower
Dwight D. Eisenhower	Dwight David Eisenhower
Dwight D. Eisenhower	Dwight Eisenhower
Dwight D. Eisenhower	Eisenhower
Dwight D. Eisenhower	President Eisenhower
John F. Kennedy	J. F. Kennedy
John F. Kennedy	JF Kennedy
John F. Kennedy	John Fitzgerald "Jack" Kennedy
John F. Kennedy	President Kennedy
Pythagoras	Pythagoras of Samos
Jean-Luc Mélenchon	Jean-Luc Antoine Pierre Mélenchon
Christophe Guilloteau	
Sonia Sotomayor	Justice Sotomayor
Sonia Sotomayor	Sonia Maria Sotomayor
Olivier Besancenot	Olivier Christophe Besancenot
Hélène Geoffroy	Helene Geoffroy
François-Noël Buffet	
Michel Terrot	
George W. Bush	Bush
George W. Bush	Bush 43
George W. Bush	Bush Jr.
George W. Bush	Bush, George W.
George W. Bush	Dubya
George W. Bush	George Bush
George W. Bush	George Walker Bush
George W. Bush	GWB
George W. Bush	President Bush
George W. Bush	President George W. Bush
Deval Patrick	Deval L. Patrick
Deval Patrick	Deval Laurdine Patrick
Patrice Verchère	Patrice Verchere
Pascale Crozon	
Imata Kabua	Imata Jabro Kabua
Georges Fenech	
Philippe Meunier	
Alain Krivine	
Thierry Braillard	
Arlette Laguiller	Arlette Yvonne Laguiller
Tipu Sultan	Tippoo Sultan
Subhas Chandra Bose	Netaji
Rahul Gandhi	RaGa
Joe Biden	JRB
Lech Wałęsa	Wałęsa
Helmut Schmidt	Helmut Heinrich Waldemar Schmidt
Konrad Adenauer	Konrad Hermann Joseph Adenauer
Lech Wałęsa	Lech Walesa
Alex Salmond	Alexander Elliot Anderson Salmond
Seneca	Seneca the Younger
James Brown	James Joseph Brown, Jr.
James Brown	The Godfather of Soul
Willy Brandt	Gunnar Gaasland
Willy Brandt	Herbert Ernst Karl Frahm
Willy Brandt	Herbert Frahm
Seneca	Lucio Anneo Seneca
John McCain	John S. McCain, III
John McCain	John Sidney McCain III
Mariano Rajoy	Mariano Rajoy Brey
Mariano Rajoy	Mariano Rajoy y Brey
Mariano Rajoy	Rajoy
Subhas Chandra Bose	Subhash Chandra Bose
Eduardo Frei Montalva	Eduardo Nicanor Frei Montalva
Joachim Gauck	Joachim Wilhelm Gauck
Joe Biden	Joe Biden Jr.
Joe Biden	Joe R. Biden
Joe Biden	Joe R. Biden Jr.
Joe Biden	Joseph Biden
Joe Biden	Joseph R. Biden
Joe Biden	Joseph R. Biden Jr.
Joe Biden	Joseph R. Biden, Jr.
Joe Biden	Joseph Robinette Biden
Joe Biden	Joseph Robinette Biden Jr.
Joe Biden	POTUS 46
Joe Biden	President Biden
Joe Biden	President Joe Biden
Joe Biden	President Joseph Biden
Joe Biden	President Joseph Biden Jr.
Joe Biden	President Joseph R. Biden
Joe Biden	President Joseph R. Biden Jr.
Joe Biden	President Joseph Robinette Biden
Joe Biden	President Joseph Robinette Biden Jr.
Leo von Caprivi	Georg Leo Graf von Caprivi de Caprara de Montecuccoli
Leo von Caprivi	Georg Leo Graf von Caprivi de Caprera de Montecuccoli
Leo von Caprivi	Georg Leo von Caprivi
Seneca	Annaeus Seneca
Seneca	L. Annæus Seneca
Seneca	Lucius Annaeus Seneca
Seneca	Lucius Annaeus Seneca Iunior
Seneca	Lucius Annaeus Seneca minor
Seneca	the Younger Seneca
Neville Chamberlain	Arthur Neville Chamberlain
Neville Chamberlain	Rt. Hon. Arthur Neville Chamberlain
Augusto Pinochet	Augusto José ramón Pinochet Ugarte
Augusto Pinochet	Augusto Pinochet Ugarte
Coluche	Michel Gerard Joseph Colucci
Coluche	Michel Gérard Joseph Colucci
Jacques Chirac	Jacques René Chirac
Ludwig Erhard	Ludwig Wilhelm Erhard
Quintus Curtius Rufus	Curtius Rufus
Tipu Sultan	Sher e Mysore
Tipu Sultan	Sultan Fateh Ali Sahab Tipu
Tipu Sultan	Tippoo Sahib
Tipu Sultan	Tippoo Saib
Tipu Sultan	Tipu Sahab
Rahul Gandhi	RG
Olga Rypakova	
Francis Mitterrand	François Mitterrand
Alois Pupp	
James Brown	Soul Brother #1
Giridharilal Kedia	
Peter Kropotkin	Pyotr Kropotkin
Hillary Clinton	Hillary Rodham Clinton
Karl Erckert	
James Brown	Mr. Dynamite
Hillary Clinton	First Lady Clinton
Hillary Clinton	First Lady Hillary Clinton
Hillary Clinton	First Lady Hillary Rodham Clinton
Hillary Clinton	Hillary Diane Clinton
Hillary Clinton	Hillary Diane Rodham
Hillary Clinton	Hillary Diane Rodham Clinton
Hillary Clinton	Hillary R. Clinton
Hillary Clinton	Hillary Rodham
Ricardo Lagos	
Francis Mitterrand	François Marie Adrien Maurice Mitterrand
Peter Kropotkin	P. A. Kropotkin
Peter Kropotkin	P. Kropotkin
Peter Kropotkin	Peter Alexeivitch Kropotkin
Peter Kropotkin	Prince Peter Krapotkin
Peter Kropotkin	Pyotr Alexeyevich Kropotkin
Michelle Bachelet	Veronica Michelle Bachelet Jeria
Michelle Bachelet	Verónica Michelle Bachelet Jeria
Nicolas Sarkozy	Nicolas Paul Stéphane Sarközy de Nagy-Bocsa
Nicolas Sarkozy	Nicolas Sarközy
Nicolas Sarkozy	Sarko
Patricio Aylwin	Patricio Aylwin Azocar
Patricio Aylwin	Patricio Aylwin Azócar
Robert Mugabe	Mugabe
Robert Mugabe	Robert Gabriel Mugabe
Joe Biden	Biden
Christiane Demontès	Christiane Demontes
Christiane Demontès	Christiane Demontés
Gérard Collomb	Gerard Collomb
François-Xavier Villain	
Élisabeth Lamure	Elisabeth Lamure
Michel Rocard	
François Bayrou	Francois Bayrou
Guy Fischer	
Raymond Barre	Raymond Octave Joseph Barre
John Roberts	John Glover Roberts, Jr.
Napoleon	The Little Corporal
Gerhard Schröder	Gerhard Fritz Kurt Schröder
Alexander von Humboldt	Alexander Freiherr von Humboldt
Alexander von Humboldt	Alexander Freiherr Von Humboldt
Alexander von Humboldt	Alexander von, Freiherr Humboldt
Alexander von Humboldt	Alexander, Freiherr von Humboldt
Alexander von Humboldt	Friedrich Heinrich Alex., Baron von Humboldt
